Predictor,Group,r_eci_software,p_eci_software,r_gh_devs_per_10k,p_gh_devs_per_10k,r_gh_language_diversity_index,p_gh_language_diversity_index,r_eci_diversity,p_eci_diversity
STEM researchers per 10k,Knowledge,0.4497,0.0000,0.5899,0.0000,0.2990,0.0000,0.5552,0.0000
Dist. to STEM uni (km),Knowledge,-0.3162,0.0000,-0.1903,0.0000,-0.2806,0.0000,-0.3493,0.0000
% university-educated adults,Knowledge,0.4254,0.0000,0.4896,0.0000,0.4042,0.0000,0.5258,0.0000
ln(Median wage),Wealth,0.3150,0.0000,0.1536,0.0006,0.3596,0.0000,0.3097,0.0000
Nighttime radiance 2022,Wealth,0.4901,0.0000,0.3645,0.0000,0.4692,0.0000,0.5523,0.0000
Advanced services (%),Wealth,0.3859,0.0000,0.2356,0.0000,0.1872,0.0015,0.5208,0.0000
ln(Population),Control,0.6005,0.0000,0.3724,0.0000,0.5373,0.0000,0.7147,0.0000
Internet penetration (%),Control,-0.3567,0.0000,-0.1803,0.0000,-0.3077,0.0000,-0.3721,0.0000
