Variable,Pooled,Peripheral-Deprived,Metropolitan-Core,Metropolitan-Diversified,Pampeana-Educated,Semi-Rural-Active,Intermediate-Urban
STEM researchers per 10k,0.0427 (0.0102)***,—,0.0279 (0.0120)*,0.0544 (0.0107)***,0.1195 (0.0320)***,—,0.0612 (0.0968)
ln(Median wage),0.8234 (0.3810)*,—,-2.8755 (1.6991)†,0.0870 (0.4710),0.2217 (0.8621),—,1.8039 (0.8326)*
ln(Population),0.4233 (0.0733)***,—,0.5103 (0.1099)***,0.4100 (0.1269)**,0.4982 (0.1903)**,—,0.1486 (0.1564)
Internet penetration (%),-0.0004 (0.0085),—,0.0109 (0.0069),0.0141 (0.0107),-0.0144 (0.0083)†,—,-0.0042 (0.0204)
N,221,<30 (13),53,45,58,<30 (5),49
R²,0.4681,—,0.4558,0.4527,0.3261,—,0.1723
